Season,Team,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary,Champion?
2004,Detroit Pistons,82,54,28,0.659,48.2,90.1,33.5,77,43.5,4.1,11.8,34.4,19,25.3,75.3,12.4,30.4,42.8,20.8,15.1,8,7,5,20.3,0,5.8,"$53,442,834",1
2003,Detroit Pistons,82,50,32,0.61,48.5,91.4,32.9,76.5,43,6.5,18.1,35.8,19,24.6,77.1,10.8,29.8,40.6,19.8,13.5,6.8,5.7,4.3,21.3,0.2,3.7,"$47,777,888",0
2002,Detroit Pistons,82,50,32,0.61,48,94.3,34.7,76.8,45.2,6.9,18.4,37.6,18,23.8,75.6,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,2.1,"$42,417,677",0
2001,Detroit Pistons,82,32,50,0.39,48.4,95.6,35.6,83.9,42.4,4.7,13.6,35,19.6,27.2,72.1,13.5,32,45.5,19.9,15.9,7.5,5.5,4.8,23.8,0.1,-1.7,"$40,475,338",0
2000,Detroit Pistons,82,42,40,0.512,48.4,103.5,37.1,80.9,45.9,5.4,14.9,35.9,23.9,30.6,78.1,11.2,30,41.2,20.8,15.7,8.1,3.3,4.8,24.5,3.5,1.4,"$42,141,801",0
1999,Detroit Pistons,50,29,21,0.58,48.2,90.4,33.2,74.3,44.7,5,13.6,36.5,19,25.7,74,12.1,28.2,40.3,20.2,15.8,8.9,4.2,4.5,22.8,0.1,3.4,"$34,699,620",0
1998,Detroit Pistons,82,37,45,0.451,48.7,94.2,34.9,77.7,44.9,3.6,11.4,31.2,20.8,27.9,74.5,12.7,28.5,41.2,19.5,14.6,8.3,4.2,4.7,22,0.2,1.6,"$24,876,625",0
1997,Detroit Pistons,82,54,28,0.659,48.4,94.2,34.5,74.3,46.4,7.1,18.3,38.8,18.1,24.3,74.5,10.5,28,38.4,19,12.7,7.7,3.5,3.4,20.1,0.2,5.2,"$26,848,500",0
2022,Golden State Warriors,10,9,1,0.9,48.5,115.2,42.1,89.2,47.2,16.2,42.6,38,14.8,18.8,78.7,9,38.8,47.8,30.3,15.8,10.1,4.7,3.8,19.2,17,13.7,"$178,897,495",
2021,Golden State Warriors,72,39,33,0.542,48.1,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,8,35.1,43,27.7,15,8.2,4.8,4.3,21.2,19.5,1.1,"$171,105,334",0
2020,Golden State Warriors,65,15,50,0.231,48.4,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10,32.9,42.8,25.6,14.9,8.2,4.6,4.9,20.1,20.1,-8.7,"$129,254,928",0
2019,Golden State Warriors,82,57,25,0.695,48.3,117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,"$146,291,276",0
2018,Golden State Warriors,82,57,25,0.695,48.3,117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,"$137,610,134",1
2017,Golden State Warriors,82,67,15,0.817,48.2,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6,"$101,584,835",1
2016,Golden State Warriors,82,73,9,0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8,"$93,669,566",0
2015,Golden State Warriors,82,67,15,0.817,48.1,110,41.6,87,47.8,10.8,27,39.8,16,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8,10.1,"$73,611,166",1
2014,Golden State Warriors,82,51,31,0.622,48.4,104.3,39.5,85.4,46.2,9.4,24.8,38,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5,4.2,21.8,19.3,4.8,"$72,503,122",0
2013,Golden State Warriors,82,47,35,0.573,48.3,101.2,38.2,83.4,45.8,8,19.9,40.3,16.8,21.3,79,10.8,34.2,45,22.5,15.1,6.9,4.2,4.9,21.4,19.2,0.9,"$70,036,985",0
2012,Golden State Warriors,66,23,43,0.348,48.2,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77,9.7,29.5,39.2,22.3,13.9,8,5.5,5,21.4,16.6,-3.4,"$61,576,901",0
2011,Golden State Warriors,82,36,46,0.439,48.4,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,14.6,9,5,4.3,22,18.4,-2.3,"$68,415,336",0
2010,Golden State Warriors,82,26,56,0.317,48.1,108.8,40.6,86.5,46.9,7.7,20.6,37.5,19.9,25.4,78.2,9.2,29.2,38.4,22.4,14.7,9.3,4.1,5,23,21.4,-3.6,"$65,352,372",0
2009,Golden State Warriors,82,29,53,0.354,48.5,108.6,39.4,86,45.8,6.7,18,37.3,23.1,29.2,79.1,11.6,30.4,42,20.9,14.6,7.8,6.4,5,22.5,23.5,-3.7,"$67,416,431",0
2008,Golden State Warriors,82,48,34,0.585,48.2,111,41.5,90.3,45.9,9.3,26.6,34.8,18.8,24.9,75.2,12.7,30.4,43.2,22.4,13.2,9.1,4.6,5,22.9,21.2,2.2,"$62,148,303",0
2007,Golden State Warriors,82,42,40,0.512,48.2,106.5,39.8,86,46.3,8.5,24,35.6,18.5,25.8,71.7,11.5,29.9,41.4,23.8,16,9.1,5.7,4.9,23.6,22.3,-0.3,"$65,012,368",0
2006,Golden State Warriors,82,34,48,0.415,48.4,98.5,35.8,82.7,43.3,7.6,22.3,34.1,19.2,26.7,71.8,12,30.3,42.3,20.7,14.1,7.4,4.3,5,23.7,23.4,-1.4,"$57,114,566",0
2005,Golden State Warriors,82,34,48,0.415,48.5,98.7,36.9,85.8,43,7.6,21.6,35.2,17.2,23.8,72.2,13,29.7,42.7,22.1,13.6,7.8,5.1,5.1,22.4,0,-2.2,"$54,943,723",0
2004,Golden State Warriors,82,37,45,0.451,48.4,93.3,35.1,79.4,44.2,5.2,15.6,33.4,17.9,24.7,72.5,12.2,30.9,43.1,20.5,14.8,7,4.7,5.1,20.6,0,-0.7,"$53,376,708",0
2003,Golden State Warriors,82,38,44,0.463,48.2,102.4,37.3,84.6,44.1,5.2,15.1,34.4,22.6,29,77.8,15.7,31,46.7,20.9,15.8,7.2,6.2,6,21.8,0,-1.1,"$47,737,715",0
2002,Golden State Warriors,82,21,61,0.256,48.2,97.7,36.6,85.2,42.9,3.9,12.1,32.2,20.6,28.6,72.2,16.3,30.4,46.7,20.8,16.8,7.9,6.4,6.3,23,0.2,-5.4,"$47,681,152",0
2001,Golden State Warriors,82,17,65,0.207,48.2,92.5,35.8,87.5,40.9,3.4,11.8,29.3,17.4,24.7,70.6,16.4,29.1,45.5,21.8,15.9,9,5,6,21.1,0.1,-9,"$42,363,018",0
2000,Golden State Warriors,82,19,63,0.232,48.2,95.5,36.5,87.1,42,4.2,13,32.3,18.3,26.2,69.7,15.9,29.7,45.6,22.6,15.9,8.9,4.3,6,24.9,2,-8.3,"$36,133,518",0
1999,Golden State Warriors,50,21,29,0.42,48.5,88.3,34.6,83.5,41.5,3.2,11.3,28.7,15.9,23.5,67.6,16.3,31.2,47.5,20.7,15.4,8.3,4.4,6.1,25.4,0.1,-2.5,"$30,985,000",0
1998,Golden State Warriors,82,19,63,0.232,48.4,88.3,34.7,83.9,41.3,2.3,8.5,27.2,16.6,23.3,71,15.7,30.2,45.9,20.8,16.7,7.6,5.5,5.8,22.7,0.1,-9.1,"$32,856,469",0
1997,Golden State Warriors,82,30,52,0.366,48.5,99.6,36.5,80.1,45.6,5.9,16.6,35.3,20.7,26.6,77.8,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,21.8,0.1,-4.7,"$31,087,000",0
2022,Houston Rockets,10,1,9,0.1,48,103.8,37.6,84.8,44.3,11.8,34.9,33.8,16.8,23.9,70.3,9.8,35.2,45,21.5,19.8,8.6,4.3,6.2,20,22.1,-7.4,"$127,828,509",
2021,Houston Rockets,72,17,55,0.236,48.1,108.8,39.3,88.5,44.4,13.8,40.6,33.9,16.5,22.3,74,9.3,33.3,42.6,23.6,14.7,7.6,5,5.3,19.5,19.3,-7.9,"$131,784,255",0
2020,Houston Rockets,72,44,28,0.611,48.3,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8,34.5,44.3,21.6,14.7,8.7,5.2,4.9,21.8,21,3,"$128,109,922",0
2019,Houston Rockets,82,53,29,0.646,48.4,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,13.3,8.5,4.9,4.5,22,20,4.8,"$126,474,100",0
2018,Houston Rockets,82,65,17,0.793,48.2,112.4,38.7,84.2,46,15.3,42.3,36.2,19.6,25.1,78.1,9,34.5,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4,8.5,"$119,905,532",0
2017,Houston Rockets,82,55,27,0.671,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5,19.9,20.4,5.8,"$90,956,067",0
2016,Houston Rockets,82,41,41,0.5,48.4,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10,5.2,4.9,21.8,22.5,0.2,"$87,504,058",0
2015,Houston Rockets,82,56,26,0.683,48.3,103.9,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,3.4,"$76,849,302",0
2014,Houston Rockets,82,54,28,0.659,48.4,107.7,38,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,20.4,24.3,4.6,"$57,823,063",0
2013,Houston Rockets,82,45,37,0.549,48.2,106,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,20.3,20.4,3.5,"$48,048,265",0
2012,Houston Rockets,66,34,32,0.515,48.7,98.1,37.7,84,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,20.4,18.4,0.2,"$57,021,755",0
2011,Houston Rockets,82,43,39,0.524,48.5,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,20,21.4,2.2,"$72,315,654",0
2010,Houston Rockets,82,42,40,0.512,48.5,102.4,37.7,84.4,44.7,7.9,22.4,35.1,19,24.7,77.2,11.8,30.1,42,21.8,14.5,7.1,3.9,6.5,20.9,22.4,-0.4,"$69,095,315",0
2009,Houston Rockets,82,53,29,0.646,48.3,98.4,36.1,79.6,45.3,7.6,20.2,37.5,18.7,23.2,80.5,10.5,32.5,43,20.3,14.1,6.7,4.3,5.3,18.9,20.6,4,"$73,302,272",0
2008,Houston Rockets,82,55,27,0.671,48.1,96.7,36.6,81.7,44.8,7.1,20.8,34.2,16.4,22.5,72.6,12.2,32.4,44.6,21.4,13.7,7.3,5.1,4.6,19.6,19.7,4.7,"$69,894,114",0
2007,Houston Rockets,82,52,30,0.634,48.4,97,35.4,79.6,44.5,8.6,23.1,37.2,17.5,23.2,75.3,10.7,32.6,43.3,20.8,14.2,7.1,4.1,4.3,20.9,19.9,4.9,"$63,837,566",0
2006,Houston Rockets,82,34,48,0.415,48.4,90.1,33,76.2,43.3,5.7,17.2,33.2,18.3,24.1,75.9,10.4,31.3,41.6,19.3,14.5,7.2,3.9,4.5,22.7,20.9,-1.6,"$69,257,404",0
2005,Houston Rockets,82,51,31,0.622,48.4,95.1,34.7,78.3,44.3,6.7,18.5,36.4,18.9,24.2,78.1,10.7,31.7,42.4,21.1,13.8,6.9,4.6,4.1,22,0,4,"$60,284,303",0
2004,Houston Rockets,82,45,37,0.549,48.6,89.8,33.4,75.5,44.2,6.3,17.1,36.6,16.7,21.6,77.3,10.3,32.3,42.6,19.3,16.7,6.8,5.4,4.4,21.5,0,1.7,"$55,401,430",0
2003,Houston Rockets,82,43,39,0.524,48.6,93.8,34.6,78.8,44,5.4,15.5,34.6,19.1,24.9,76.8,12.5,31.3,43.8,18.4,15.6,7.2,6,4.6,19.5,0.1,1.5,"$50,181,239",0
2002,Houston Rockets,82,28,54,0.341,48.7,92.3,34.6,80.8,42.8,6,18,33.5,17.1,23.1,74.1,12.5,29.4,41.9,18.1,14.1,6.5,5.4,5.1,18,0.1,-4.9,"$49,168,169",0
2001,Houston Rockets,82,45,37,0.549,48.4,97.2,35.9,79.2,45.3,6.1,17.2,35.7,19.3,25.4,75.8,11.2,30.8,42,19.7,14.7,7.2,4.4,4.9,20.2,0,2.3,"$49,283,309",0
2000,Houston Rockets,82,34,48,0.415,48.4,99.5,36.6,81.3,45,7.1,19.8,35.8,19.2,26.2,73.3,12.3,31.5,43.8,21.6,17.4,7.5,5.3,5.3,20.3,1.8,-0.9,"$52,269,367",0
1999,Houston Rockets,50,31,19,0.62,48.3,94.2,35.1,76,46.2,6.7,18.3,36.8,17.3,23.7,72.9,10.7,30.8,41.5,21.2,16.2,7.7,5.2,4.9,19.2,0.1,2.3,"$30,297,100",0
1998,Houston Rockets,82,41,41,0.5,48.4,98.8,35.9,79.4,45.2,7,20.4,34.3,19.9,25.9,77.1,12,28.7,40.7,21.9,15.8,8.4,3.6,4.5,20.2,0.2,-0.8,"$28,086,350",0
1997,Houston Rockets,82,57,25,0.695,48.4,100.6,37,79.1,46.8,8.2,22.4,36.5,18.3,24.3,75.5,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,19.6,0.2,4.5,"$26,275,000",0
2022,Indiana Pacers,11,4,7,0.364,48.9,109.2,41.5,89.1,46.5,12.8,36.6,35,13.5,17.5,77.1,9.9,35.8,45.7,24.2,16.5,7.3,6,5,21.3,18.6,-0.4,"$135,126,570",
2021,Indiana Pacers,72,34,38,0.472,48.5,115.3,43.3,91.2,47.4,12.3,34,36.4,16.4,20.7,79.2,9,33.7,42.7,27.4,13.5,8.5,6.4,5.3,20.2,18.1,0,"$130,237,102",0
2020,Indiana Pacers,73,45,28,0.616,48.3,109.4,42.1,88.5,47.6,10.2,28,36.3,15,19.1,78.7,8.7,34.1,42.8,25.9,13.2,7.4,5.2,4.6,19.8,18.8,2,"$112,872,260",0
2019,Indiana Pacers,82,48,34,0.585,48.1,108,41.3,87,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43,26,13.7,8.7,4.9,5.2,19.4,20,3.3,"$110,724,804",0
2018,Indiana Pacers,82,48,34,0.585,48.1,108,41.3,87,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43,26,13.7,8.7,4.9,5.2,19.4,20,3.3,"$95,271,736",0
2017,Indiana Pacers,82,42,40,0.512,48.4,105.1,39.3,84.5,46.5,8.6,23,37.6,17.9,22.1,81,9,33,42,22.5,13.8,8.2,5,5,19.5,19.5,-0.2,"$90,279,072",0
2016,Indiana Pacers,82,45,37,0.549,48.5,102.2,38.3,85.2,45,8.1,23,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9,4.8,4.5,20,20.4,1.7,"$71,605,233",0
2015,Indiana Pacers,82,38,44,0.463,48.4,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14,6.2,4.6,4.7,21.2,21.4,0.3,"$74,793,526",0
2014,Indiana Pacers,82,56,26,0.683,48.2,96.7,36,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,20.4,21.9,4.4,"$67,182,414",0
2013,Indiana Pacers,81,49,32,0.605,48.4,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33,45.9,20.3,15.1,7.2,6.3,5.7,20,21.9,4,"$66,107,195",0
2012,Indiana Pacers,66,42,24,0.636,48.5,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,14,7.9,5.4,6,21.7,21.6,3.3,"$51,554,083",0
2011,Indiana Pacers,82,37,45,0.451,48.2,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,-1.1,"$65,088,630",0
2010,Indiana Pacers,82,32,50,0.39,48.1,100.8,36.8,83.2,44.3,8,23.1,34.8,19.1,24.6,77.5,9.6,31.9,41.5,21.1,15,7.1,5.4,5,22.5,20.8,-3,"$66,733,257",0
2009,Indiana Pacers,82,36,46,0.439,48.4,105.1,39.3,86.3,45.5,8,21,37.8,18.6,23,80.7,11.3,32.5,43.7,21.6,14.5,7,5.3,5.4,23.1,20.6,-1.1,"$69,668,818",0
2008,Indiana Pacers,82,36,46,0.439,48.2,104,37.8,85.3,44.4,9.2,24.6,37.4,19.1,24.9,76.8,11,32.1,43.1,22.7,15.1,7.6,5,5.1,23.4,21.7,-1.4,"$66,260,246",0
2007,Indiana Pacers,82,35,47,0.427,48.2,95.6,35,80,43.8,5.9,16.9,34.6,19.7,25.9,76,12.1,29.8,41.8,20.5,16.3,7.3,5.5,5,23.3,23.7,-2.4,"$63,118,965",0
2006,Indiana Pacers,82,41,41,0.5,48.1,93.9,34,76.5,44.4,6.5,18.7,34.9,19.4,26.3,73.7,11,31.2,42.2,19.9,15.3,7.3,5,4.9,22.2,22,1.9,"$78,791,779",0
2005,Indiana Pacers,82,44,38,0.537,48.5,93,32.5,75.2,43.2,6.6,19.2,34.4,21.3,26.9,79.2,10.6,29.5,40.1,18.2,14.3,7.5,4.4,4.9,23,0.1,0.8,"$66,064,780",0
2004,Indiana Pacers,82,61,21,0.744,48.3,91.4,33.6,77.1,43.5,5.5,15.6,35.1,18.8,24.6,76.4,11.8,29.9,41.7,21.6,14.4,8.9,5,6.2,20.8,0.1,5.8,"$58,156,236",0
2003,Indiana Pacers,82,48,34,0.585,48.5,96.8,35.5,80.6,44.1,4.6,13.6,33.9,21.2,27.7,76.6,12.2,32,44.2,23.3,14.8,8.5,5.4,6.3,22.1,0.1,3.5,"$53,472,323",0
2002,Indiana Pacers,82,42,40,0.512,48.5,96.8,35.8,80.2,44.6,4.9,14.6,33.9,20.3,26.3,77.2,11.3,31.3,42.7,23,15.2,8,5.3,5.7,22.9,0.2,0.3,"$53,398,621",0
2001,Indiana Pacers,82,41,41,0.5,48.7,92.6,34.5,78.4,44,4.8,14.1,34.2,18.8,24.5,76.6,11.2,31.6,42.9,21.5,15.2,6.9,5.9,4.7,23.5,0.1,-0.2,"$55,086,140",0
2000,Indiana Pacers,82,56,26,0.683,48.1,101.3,37.2,81,45.9,7.1,18.1,39.2,19.9,24.5,81.1,10.3,31.9,42.1,22.6,14.1,6.8,5.1,3.9,21.8,2.3,4.6,"$54,988,605",0
1999,Indiana Pacers,50,33,17,0.66,48.4,94.7,34.6,77.3,44.8,5.9,16,36.8,19.5,24.6,79.6,11.5,29,40.5,20.1,13,6.3,4.5,4.8,21.6,0.2,3.7,"$45,401,500",0
1998,Indiana Pacers,82,58,24,0.707,48.4,96,35.6,75.9,46.9,4.9,12.5,39,19.9,26,76.4,10.7,28.6,39.3,23,14.2,7.9,4.5,4.5,22.7,0.1,6.1,"$39,162,273",0
1997,Indiana Pacers,82,39,43,0.476,48.6,95.4,34.8,76.3,45.6,5.2,13.8,38.1,20.6,28.5,72.2,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,24.1,0.3,1,"$39,480,000",0
2022,Los Angeles Clippers,10,6,4,0.6,48,108,39.7,89.1,44.6,14.1,38.9,36.2,14.5,18.9,76.7,8.5,36.1,44.6,23.8,13.8,9.6,4,4.2,18.4,19.3,4.8,"$168,844,333",
2021,Los Angeles Clippers,72,47,25,0.653,48,114,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,6.2,"$139,722,606",0
2020,Los Angeles Clippers,72,49,23,0.681,48.3,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7,37,47.7,23.7,14.6,7.1,4.7,4.7,22.1,22.9,6.4,"$131,506,341",0
2019,Los Angeles Clippers,82,48,34,0.585,48.4,115.1,41.3,87.5,47.1,10,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24,14.5,6.8,4.7,6.1,23.3,24,0.9,"$118,026,816",0
2018,Los Angeles Clippers,82,48,34,0.585,48.4,115.1,41.3,87.5,47.1,10,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24,14.5,6.8,4.7,6.1,23.3,24,0.9,"$119,093,010",0
2017,Los Angeles Clippers,82,51,31,0.622,48.2,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26,74.5,9,34,43,22.5,13,7.5,4.2,3.1,19.8,22.4,4.3,"$114,756,766",0
2016,Los Angeles Clippers,82,53,29,0.646,48.4,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42,22.8,13,8.6,5.6,3.2,21.3,22.5,4.3,"$97,019,321",0
2015,Los Angeles Clippers,82,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,6.6,"$85,259,447",0
2014,Los Angeles Clippers,82,57,25,0.695,48.2,107.9,39.1,82.5,47.4,8.5,24,35.2,21.2,29.1,73,10.5,32.5,43,24.6,13.9,8.6,4.8,3.5,21.5,23.4,7,"$73,049,774",0
2013,Los Angeles Clippers,82,56,26,0.683,48.1,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,20.9,20.9,6.5,"$69,152,721",0
2012,Los Angeles Clippers,66,40,26,0.606,48.4,97.5,37,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68,12.1,29.4,41.6,21,13.3,8.4,4.8,4.5,21.2,21.2,2.6,"$67,333,389",0
2011,Los Angeles Clippers,82,32,50,0.39,48.4,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,-3.1,"$53,225,329",0
2010,Los Angeles Clippers,82,29,53,0.354,48.1,95.7,36.6,80.5,45.5,5.9,17.8,33.2,16.6,22.8,73,11.3,30.5,41.8,22.1,15.7,6.5,5.7,4.4,19.3,19.4,-6.4,"$61,616,409",0
2009,Los Angeles Clippers,82,19,63,0.232,48.5,95.1,36,81.7,44.1,6.5,18.5,35.4,16.5,22.4,73.6,10.9,29,39.8,21,14.9,7,5.9,5,20.1,19.6,-8.8,"$62,764,206",0
2008,Los Angeles Clippers,82,23,59,0.28,48.3,93.8,34.4,78.6,43.8,4.3,13.2,32.4,20.8,26.6,78.1,9.8,30.4,40.1,21.1,14.4,6.8,4.9,4.7,21.3,21.6,-7.3,"$64,847,945",0
2007,Los Angeles Clippers,82,40,42,0.488,48.1,95.6,35.1,77,45.6,3.8,11,34.8,21.6,27.4,78.8,10.8,30.3,41.1,21.5,15.1,7.3,5.8,3.9,22.7,22.3,-0.5,"$59,181,038",0
2006,Los Angeles Clippers,82,47,35,0.573,48.3,97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33,43.1,20.8,14.5,6.5,6.1,4.3,22.8,21.7,1.6,"$51,358,645",0
2005,Los Angeles Clippers,82,37,45,0.451,48.9,95.7,35.7,77.7,45.9,2.8,8.2,34.5,21.6,27.7,77.8,12,29.9,41.9,23.2,15.7,7.3,5.1,4.8,22.2,0,-0.8,"$45,483,265",0
2004,Los Angeles Clippers,82,28,54,0.341,48.3,94.8,34.4,80.2,42.8,4,12.5,32.1,22,28.1,78.5,14,29.5,43.5,20.2,16.4,7.2,4.6,5.3,22.1,0,-4.6,"$39,114,363",0
2003,Los Angeles Clippers,82,27,55,0.329,48.2,93.8,34.6,79.1,43.7,4.8,14.4,33.1,19.9,26.5,75,12.3,30,42.3,19.6,15.7,7,5.6,5.1,21.8,0,-4.1,"$42,955,777",0
2002,Los Angeles Clippers,82,39,43,0.476,48.3,95.7,36.2,81.3,44.5,5,14,35.6,18.3,24.7,73.9,13.2,30.2,43.4,20.9,14.8,6.2,6.6,5.4,19.8,0.1,-0.5,"$33,849,932",0
2001,Los Angeles Clippers,82,31,51,0.378,48.9,92.5,35.3,78.9,44.8,4.4,13,33.9,17.4,25.1,69.3,11.7,31.2,42.9,19.3,15.8,6,6.3,5,21.6,0,-2.9,"$29,606,189",0
2000,Los Angeles Clippers,82,15,67,0.183,48.1,92,35.1,82.4,42.6,5.2,15.5,33.9,16.6,22.3,74.6,11.6,29,40.6,18,16.2,7,6,4.6,22.2,2,-11.5,"$22,489,343",0
1999,Los Angeles Clippers,50,9,41,0.18,48.5,90.4,34.2,80.1,42.7,4.3,13.4,32,17.7,24.5,72.1,13.3,25.9,39.2,16.4,15.9,8.5,4.7,5.8,24.5,0.1,-8.8,"$28,417,580",0
1998,Los Angeles Clippers,82,17,65,0.207,48.2,95.9,35.7,81.6,43.8,6.4,17.9,35.8,18,25,72.3,12.7,27.8,40.4,18.7,16.1,7.6,5.6,5,22.3,0.1,-7.4,"$24,493,625",0
1997,Los Angeles Clippers,82,36,46,0.439,48.6,97.2,36.5,81.7,44.6,5.8,16.3,35.4,18.5,25.3,73.1,13.3,27.3,40.7,20.3,16,8.9,5.4,5.1,24,0.1,-2.4,"$23,336,500",0
2022,Los Angeles Lakers,11,6,5,0.545,48.9,111.5,42.5,91.8,46.3,11.5,31.9,35.9,15,20.5,73.3,10.2,36.2,46.4,24.4,16.5,9.2,6.2,3.4,20.7,19.1,-0.8,"$164,786,196",
2021,Los Angeles Lakers,72,42,30,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8,"$139,334,713",0
2020,Los Angeles Lakers,71,52,19,0.732,48.1,113.4,42.3,88.3,48,11,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,15.2,8.6,6.6,3.7,20.7,21.7,5.8,"$118,971,686",1
2019,Los Angeles Lakers,82,37,45,0.451,48.2,111.8,42.6,90.5,47,10.3,31,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,-1.7,"$107,225,482",0
2018,Los Angeles Lakers,82,37,45,0.451,48.2,111.8,42.6,90.5,47,10.3,31,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8,-1.7,"$103,126,557",0
2017,Los Angeles Lakers,82,26,56,0.317,48.1,104.6,39.3,87.4,45,8.9,25.7,34.6,17,22.6,75.4,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,20.7,18.5,-6.9,"$94,781,848",0
2016,Los Angeles Lakers,82,17,65,0.207,48.1,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,-9.6,"$72,694,352",0
