Season,Team,Champion?,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary
2004,Sacramento Kings,0,82,55,27,0.671,48.2,102.8,37.8,81.8,46.2,7.3,18.3,40.1,19.8,24.9,79.5,10.8,30.4,41.2,26.2,13.9,8.7,4,5,19.3,0,5,68372826
2003,Sacramento Kings,0,82,59,23,0.72,48.4,101.7,39.5,85.2,46.4,6,15.7,38.1,16.7,22.3,74.6,11,33.5,44.5,24.8,14.5,9,5.6,4.3,20.3,0,6.5,70416596
2002,Sacramento Kings,0,82,61,21,0.744,48.2,104.6,39.8,85.4,46.7,5.2,14.1,36.7,19.7,26.3,75.1,12.4,33,45.3,23.9,13.8,9,4.6,4.7,19,0.1,7.6,54921012
2001,Sacramento Kings,0,82,55,27,0.671,49,101.7,38.2,85,44.9,5.8,16.5,35.4,19.5,25.3,77.1,12,33,45,22.6,14.9,9.7,5.3,5.8,19.5,0,5.8,46266289
2000,Sacramento Kings,0,82,44,38,0.537,48.3,105,40,88.9,45,6.5,20.2,32.2,18.5,24.6,75.4,12.9,32.1,45,23.8,16.2,9.6,4.6,4.9,21.1,2.6,2.9,40113125
1999,Sacramento Kings,0,50,27,23,0.54,48.8,100.2,38.4,86.1,44.5,5.8,18.9,30.8,17.7,25.9,68.3,14.1,31.5,45.6,22.6,16.8,8.9,4.6,4.4,20.3,0.2,-0.4,32267000
1998,Sacramento Kings,0,82,27,55,0.329,48.1,93.1,36.1,81.5,44.2,3.5,9.8,35.1,17.6,25.6,68.7,13.3,28.1,41.4,22.4,15.5,7.3,5.1,5.7,22.1,0,-5.6,30046350
1997,Sacramento Kings,0,82,34,48,0.415,48.4,96.4,36.6,80.6,45.4,5,12.9,39.1,18.2,25.2,72.3,13.4,28.1,41.5,21.9,16.2,7.2,4.4,5.2,23.5,0.4,-3.4,27820200
2022,San Antonio Spurs,,10,3,7,0.3,48.5,107.4,43.4,93.9,46.2,9.4,28.8,32.6,11.2,16,70,9.4,35.2,44.6,27.8,13.6,9.3,6,5.9,17.1,18.3,0.4,118881308
2021,San Antonio Spurs,0,72,33,39,0.458,48.6,111.1,41.9,90.5,46.2,9.9,28.4,35,17.4,22,79.2,9.3,34.6,43.9,24.4,11.4,7,5.1,5.1,18,18.6,-1.7,129537825
2020,San Antonio Spurs,0,71,32,39,0.451,48.5,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19,23.4,81,9,35.6,44.6,24.7,12.6,7.3,5.5,4.3,19.4,20.1,-1.1,119217331
2019,San Antonio Spurs,0,82,48,34,0.585,48.3,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21,81.9,9.2,35.5,44.7,24.5,12.1,6.1,4.7,4,18.1,19.6,1.7,121588790
2018,San Antonio Spurs,0,82,48,34,0.585,48.3,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21,81.9,9.2,35.5,44.7,24.5,12.1,6.1,4.7,4,18.1,19.6,1.7,114633844
